,dia,isbn,PNL,Titulo,Autor,Chancela,pvp,pvp_livro_do_dia,desconto_livrdia_perc,Participant_Name,stand
2593,2021-09-03,9789726852421,,Manual De Contratos Civis,"Justo, A. Santos",Petrony,34.9,20.94,39.99999999999999,Quimera Editores,A57
2594,2021-09-07,9789724075433,,Manual De Cooperação Judiciária Internacional Em Matéria Penal,Luís De Lemos Triunfante,Almedina,35.9,17.95,50.0,Grupo Almedina,A93
2595,2021-09-12,9788582714669,,Manual De Diagnósticos De Enfermagem,"Carpenito, Lynda J.",Artmed,47.7,28.62,40.0,Booki | Sabooks,B25
2596,2021-09-07,9789897161759,,Manual De Fundraising,Valerio Melandri,Principia,28.5,14.25,50.0,Principia | Lucerna,D47
2597,2021-09-01,9789895453122,,Manual De Instruções Para A Nave Espacial Terra,Buckminster Fuller,Editora Exclamação,14.9,11.92,20.0,Livros De Bordo,D35
2598,2021-09-09,9789896169299,,Manual De Investigação Em Ciências Sociais,"Quivy, Raymond",Gradiva,18.0,10.8,40.0,Gradiva,B66
2599,2021-08-31,9788572696104,,Manual De Irrigação - 9ª Edição,"Salassier Bernardo, Everardo Chartuni Mantovani, Demetrius David Da Silva, Antônio Alves Soares",Ufv,53.0,31.8,40.0,Booki | Sabooks,B25
2600,2021-09-06,9789897230691,,Manual De Manutenção De Edifícios - Guia Prático (2.ª Edição),Hugo Daniel Ramos Prata,Publindústria,29.0,14.5,50.0,Booki | Sabooks,B25
2601,2021-09-06,9788521203780,,Manual De Tecnologia Automotiva,Robert Bosch,Blucher,85.03,42.52,49.9941197224509,Booki | Sabooks,B25
2602,2021-08-28,9788521205944,,Manual De Tecnologia Metal Mecânica - 2ª Edição,Ulrich Fischer,Blucher,71.13,35.57,49.99297061717981,Booki | Sabooks,B25
2603,2021-08-28,9789897400704,,Manual Do Bom Fascista,Rui Zink,Ideias De Ler,15.5,7.75,50.0,Porto Editora,B16
2604,2021-08-31,9789897400704,,Manual Do Bom Fascista,Rui Zink,Ideias De Ler,15.5,7.75,50.0,Porto Editora,B16
2605,2021-09-05,9789897400704,,Manual Do Bom Fascista,Rui Zink,Ideias De Ler,15.5,7.75,50.0,Porto Editora,B16
2606,2021-09-10,9789897400704,,Manual Do Bom Fascista,Rui Zink,Ideias De Ler,15.5,7.75,50.0,Porto Editora,B16
2607,2021-09-09,9789725613788,,Manual Do Líder,"Bonaparte, Napoleão",Clássica,12.9,7.74,40.0,Clássica Editora,A51
2608,2021-09-11,9789896650650,✅,Manual Para Mulheres De Limpeza,Lucia Berlin,Alfaguara (Prh),19.9,11.94,40.0,Penguin Random House,A115
2609,2021-09-12,9789897162220,,Manual Prático De Produção Gráfica - 4ª Ed.,Conceição Barbosa,Principia,22.95,11.48,49.97821350762527,Principia | Lucerna,D47
2610,2021-08-26,9789897522895,,Manual Terapêutica Médica (3ed),Ponce/Mendes,Lidel,47.5,28.5,40.0,Lidel – Edições Técnicas,B19
2611,2021-09-06,9789897522895,,Manual Terapêutica Médica (3ed),Ponce/Mendes,Lidel,47.5,28.5,40.0,Lidel – Edições Técnicas,B19
2612,2021-09-12,9789897231964,,Mãos À Horta,"Maria Elvira Ferreira, Graça Barreiro",Agrobook,25.0,12.5,50.0,Booki | Sabooks,B25
2613,2021-08-26,9788564528420,,Mãos Limpas Coração Quente,Maria Esther Rodrigues,Imã Editorial,7.2,5.4,24.999999999999996,Rede Sem Fronteiras,D51
2614,2021-08-27,9788564528420,,Mãos Limpas Coração Quente,Maria Esther Rodrigues,Imã Editorial,7.2,5.4,24.999999999999996,Rede Sem Fronteiras,D51
2615,2021-08-28,9788564528420,,Mãos Limpas Coração Quente,Maria Esther Rodrigues,Imã Editorial,7.2,5.4,24.999999999999996,Rede Sem Fronteiras,D51
2616,2021-08-29,9788564528420,,Mãos Limpas Coração Quente,Maria Esther Rodrigues,Imã Editorial,7.2,5.4,24.999999999999996,Rede Sem Fronteiras,D51
2617,2021-08-30,9788564528420,,Mãos Limpas Coração Quente,Maria Esther Rodrigues,Imã Editorial,7.2,5.4,24.999999999999996,Rede Sem Fronteiras,D51
2618,2021-08-31,9788564528420,,Mãos Limpas Coração Quente,Maria Esther Rodrigues,Imã Editorial,7.2,5.4,24.999999999999996,Rede Sem Fronteiras,D51
2619,2021-09-04,9788417222536,,Mapas,Aleksandra/Danielmizieliński,Harperkids,27.9,16.74,40.0,Vasp Premium,A46
2620,2021-09-11,9789899811430,,Mar,Tiago Miranda,Pianola Editores,18.5,11.0,40.54054054054054,Saguão | Dois Dias | Ymago,C53
2621,2021-08-29,9789899015197,,Mar Das Guitarras,Jorge Marques,Edições Esgotadas,18.0,15.0,16.666666666666664,Editora Edições Esgotadas,B43
2622,2021-08-30,9789896687793,,Mar De Memórias,Fiona Valpy,Topseller,17.69,10.61,40.02261164499718,20|20 Editora,C27
2623,2021-08-26,9788537402115,,Maravilhosas Férias,Zezé Barcelos,Editora Literis,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
2624,2021-08-27,9788537402115,,Maravilhosas Férias,Zezé Barcelos,Editora Literis,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
2625,2021-08-28,9788537402115,,Maravilhosas Férias,Zezé Barcelos,Editora Literis,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
2626,2021-08-29,9788537402115,,Maravilhosas Férias,Zezé Barcelos,Editora Literis,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
2627,2021-08-30,9788537402115,,Maravilhosas Férias,Zezé Barcelos,Editora Literis,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
2628,2021-08-31,9788537402115,,Maravilhosas Férias,Zezé Barcelos,Editora Literis,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
2629,2021-09-02,9789896686840,,Marca Positiva,João Campos,Influência,18.79,11.28,39.96806812134114,20|20 Editora,C37
2630,2021-09-04,9789897500756,,"Marcha De Radetzky, A",Joseph Roth,Vega,18.02,10.0,44.50610432852386,Nova Vega,A20
2631,2021-08-31,9789895594191,,Marcha Para A Morte!,Shigeru Mizuki,Editora Devir,19.99,15.99,20.010005002501245,Editora Devir,C49
2632,2021-08-31,9789725567081,,Maria Alda Nogueira. Da Resistência À Liberdade,Maria Alice Samara,A. R.,18.1,10.86,40.00000000000001,Assembleia Da República,B13
2633,2021-09-07,9789897078125,,Maria Lua Especial: Há Magia No Ar!,Harriet Muncaster,Booksmile,14.39,8.64,39.9583043780403,20|20 Editora,D58
2634,2021-09-10,9789898682864,,Maria Ondina Braga: Em Busca De Um Centro,Maria Adelina Vieira,Mosaico De Palavras Editora,12.0,7.0,41.66666666666667,Mosaico De Palavras Editora,A13
2635,2021-08-26,9786500030884,,Marimbás Do Posto 6,Mauro Franco,Clube De Autores,8.4,9.0,-7.142857142857138,Rede Sem Fronteiras,D51
2636,2021-08-27,9786500030884,,Marimbás Do Posto 6,Mauro Franco,Clube De Autores,8.4,9.0,-7.142857142857138,Rede Sem Fronteiras,D51
2637,2021-08-28,9786500030884,,Marimbás Do Posto 6,Mauro Franco,Clube De Autores,8.4,9.0,-7.142857142857138,Rede Sem Fronteiras,D51
2638,2021-08-29,9786500030884,,Marimbás Do Posto 6,Mauro Franco,Clube De Autores,8.4,9.0,-7.142857142857138,Rede Sem Fronteiras,D51
2639,2021-08-26,9788686790379,,Marinheiras E Brejeiras Ii,Francisco Gondar,Zmf Editora E Promoções Culturais,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
2640,2021-08-27,9788686790379,,Marinheiras E Brejeiras Ii,Francisco Gondar,Zmf Editora E Promoções Culturais,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
2641,2021-08-28,9788686790379,,Marinheiras E Brejeiras Ii,Francisco Gondar,Zmf Editora E Promoções Culturais,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
2642,2021-08-29,9788686790379,,Marinheiras E Brejeiras Ii,Francisco Gondar,Zmf Editora E Promoções Culturais,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
2643,2021-08-30,9788686790379,,Marinheiras E Brejeiras Ii,Francisco Gondar,Zmf Editora E Promoções Culturais,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
2644,2021-08-31,9788686790379,,Marinheiras E Brejeiras Ii,Francisco Gondar,Zmf Editora E Promoções Culturais,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
2645,2021-09-01,9789898205902,,Mário De Sá-Carneiro - Antologia,Mário De Sá-Carneiro,Faktoria K De Livros,15.0,9.0,40.0,Kalandraka,C15
2646,2021-09-01,9789897525759,,Marketing Digital - Conteudos Vencedores,"Baptista, Costa",Lidel,24.4,19.53,19.959016393442614,Lidel – Edições Técnicas,B19
2647,2021-09-05,9789897525759,,Marketing Digital - Conteudos Vencedores,"Baptista, Costa",Lidel,24.4,19.53,19.959016393442614,Lidel – Edições Técnicas,B19
2648,2021-09-09,9789897525759,,Marketing Digital - Conteudos Vencedores,"Baptista, Costa",Lidel,24.4,19.53,19.959016393442614,Lidel – Edições Técnicas,B19
2649,2021-09-07,9789897543890,,Marketing Digital Na Prática - Como Cria,Paulo Faustino,Marcador Editora,17.9,8.95,50.0,Editorial Presença,B62
2650,2021-08-31,9789725611890,,"Marquês De Pombal E A Sua Época, O","Azevedo, João Lúcio De",Clássica,20.69,12.41,40.01933301111649,Clássica Editora,A51
2651,2021-09-03,9789727728428,,Marvão À Mesa Com A Tradição 3.ª Edi.,"Adelaide Martins, Emília Mena, Teresa Simão",Edições Colibri,15.0,8.0,46.666666666666664,Edições Colibri,A30
2652,2021-09-06,9789727728428,,Marvão À Mesa Com A Tradição 3.ª Edi.,"Adelaide Martins, Emília Mena, Teresa Simão",Edições Colibri,15.0,8.0,46.666666666666664,Edições Colibri,A30
2653,2021-08-26,9788584692958,,"Marxiando E Desvelando O Enigma Da Sociedade, ...",Ivanilde Morais De Gusmão,Editora Tarcísio Pereira,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
2654,2021-08-27,9788584692958,,"Marxiando E Desvelando O Enigma Da Sociedade, ...",Ivanilde Morais De Gusmão,Editora Tarcísio Pereira,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
2655,2021-08-27,9789898145772,✅,Mary John,Ana Pessoa E Bernardo Carvalho,Planeta Tangerina,14.9,8.94,40.0,Prodidáctico,C11
2656,2021-09-12,9789896414191,✅,Mary Poppins,P. L. Travers,Relógio D’água Editores,14.0,8.0,42.857142857142854,Relógio D’água Editores,A74
2657,2021-09-02,9789898868503,✅,Mas Porquê?,,Orfeu Mini,14.9,8.94,40.0,Orfeu Negro | Pato Lógico,A38
2658,2021-08-26,9789896650582,,Masha E O Urso - Como Tudo Começou,Animaccord Ltd,Nuvem De Letras,7.5,4.5,40.0,Penguin Random House,A105
2659,2021-09-11,9789896656881,,Masha E O Urso - Super Masha!,Animaccord Ltd,Nuvem De Letras,7.5,4.5,40.0,Penguin Random House,A105
2660,2021-08-28,9789722419321,,Mata-Pesadelos (O),"Isabel Stilwell, Maria Ruiz",Livros Horizonte,12.9,7.7,40.310077519379846,Livros Horizonte,A87
2661,2021-09-09,9789896661939,,Matadores,Hernâni Carvalho,Contraponto,16.6,8.3,50.0,Bertrand Editora,B26
2662,2021-08-26,9789896714048,✅,Matar O Salazar - O Atentado De Julho De,António Araújo,Tinta-Da-China,14.9,9.2,38.255033557046985,Tinta-Da-China,C14
2663,2021-09-05,9789896412746,,Mataram A Cotovia,Harper Lee,Relógio D’água Editores,18.0,10.0,44.44444444444444,Relógio D’água Editores,A125
2664,2021-09-12,9789896412746,,Mataram A Cotovia,Harper Lee,Relógio D’água Editores,18.0,10.0,44.44444444444444,Relógio D’água Editores,A125
2665,2021-09-08,9789896419257,✅,Mataram A Cotovia — O Romance Gráfico,Harper Lee E Fred Fordham,Relógio D’água Editores,18.0,10.0,44.44444444444444,Relógio D’água Editores,A125
2666,2021-09-02,9789898895073,,Matemática Em 30 Segundos,"Ivan Hissey,  Aavv",Jacarandá Editora,12.9,6.45,50.0,Editorial Presença,B50
2667,2021-08-30,9789897230493,,Materiais De Construção,"Lucas Filipe Martins Da Silva, Fernando Jorge Lino Alves, António Torres Marques",Publindústria,27.5,13.75,50.0,Booki | Sabooks,B25
2668,2021-08-28,9789896685959,,Matilde: Às Voltas Com As Letras,Mary Katherine Martins E Silva,Fábula,12.69,7.61,40.03152088258471,20|20 Editora,D54
2669,2021-08-26,9788583520870,,Matinta Pereira,Irislene Morato,Editora Literarte,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
2670,2021-08-27,9788583520870,,Matinta Pereira,Irislene Morato,Editora Literarte,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
2671,2021-08-28,9788583520870,,Matinta Pereira,Irislene Morato,Editora Literarte,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
2672,2021-08-29,9788583520870,,Matinta Pereira,Irislene Morato,Editora Literarte,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
2673,2021-08-30,9788583520870,,Matinta Pereira,Irislene Morato,Editora Literarte,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
2674,2021-08-31,9788583520870,,Matinta Pereira,Irislene Morato,Editora Literarte,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
2675,,9789727087921,,Mau Tempo No Canal,Vitorino Nemésio,Relógio D’água Editores,14.0,8.0,42.857142857142854,Relógio D’água Editores,A127
2676,2021-08-28,9789722528047,✅,Maus,Art Spiegelman,Bertrand,17.7,8.85,50.0,Bertrand Editora,B14
2677,2021-09-05,9789722528047,✅,Maus,Art Spiegelman,Bertrand,17.7,8.85,50.0,Bertrand Editora,B14
2678,2021-09-12,9789722528047,✅,Maus,Art Spiegelman,Bertrand,17.7,8.85,50.0,Bertrand Editora,B14
2679,2021-08-29,9789897079276,,Max E Os Minimundos,Ross Montgomery,Booksmile,15.49,9.3,39.96126533247256,20|20 Editora,C33
2680,2021-09-03,9789896688486,,Max Einstein 2: O Gangue Dos Rebeldes,James Patterson,Booksmile,16.59,9.95,40.02411091018686,20|20 Editora,C31
2681,2021-08-31,9788580554908,,Mecânica Dos Fluidos,"Çengel, Yunus A.; Cimbala, John M.",Mcgraw-Hill,77.38,46.43,39.99741535280434,Booki | Sabooks,B25
2682,2021-09-04,9788582604533,,Mecânica Dos Fluidos - Série Schaum,"Potter, Merle C.; Wiggert, David C.",Bookman,30.74,18.44,40.01301236174365,Booki | Sabooks,B25
2683,2021-08-29,9788580556087,,Medicina Interna De Harrison - Preparação Para Provas E Concursos,"Wiener, Charles; Brown, Cynthia; Houston, Brian.",Mcgraw-Hill,62.54,37.52,40.00639590661976,Booki | Sabooks,B25
2684,2021-09-28,9788580556315,,Medicina Interna De Harrison 20ed - 2 Volumes,"Jameson, J. Larry; Fauci, Anthony S.; Kasper, Dennis L.; Hauser, Stephen L.; Longo, Dan L.; Loscalzo, Joseph",Mcgraw-Hill,211.0,126.6,40.0,Booki | Sabooks,B25
2685,2021-09-11,9788580556315,,Medicina Interna De Harrison 20ed - 2 Volumes,"Jameson, J. Larry; Fauci, Anthony S.; Kasper, Dennis L.; Hauser, Stephen L.; Longo, Dan L.; Loscalzo, Joseph",Mcgraw-Hill,211.0,126.6,40.0,Booki | Sabooks,B25
2686,2021-09-04,9789728383787,,Medicina Interna E Cuidados De Enfermagem,,Lusodidacta,53.0,31.8,40.0,Booki | Sabooks,B25
2687,2021-09-05,9789728930547,,"Medicina Interna, Manual Para Enfermeiros E Outros Profissionais De Saúde",,Lusodidacta,42.4,25.44,40.0,Booki | Sabooks,B25
2688,2021-09-03,9789899008038,,Medicina Mediunica Do Futuro,Paulo Cezar Frutuoso,Fep,11.5,6.9,40.0,Federação Espírita Portuguesa,D18
2689,2021-09-01,9789898536129,,Medicina. O Agir Numa Saúde Em Mudança,Tiago Correia,Editora Mundos Sociais,11.0,5.5,50.0,Iscte-Iul,C04
2690,2021-09-01,9789899005143,,Meditação E Kind Mindfulness,Ana Mafalda Damião,Edições Mahatma,12.0,9.6,20.000000000000004,Edições Mahatma,D10
