,dia,isbn,PNL,Titulo,Autor,Chancela,pvp,pvp_livro_do_dia,desconto_livrdia_perc,Participant_Name,stand
1525,2021-09-11,180000411r,,Desvios,René Crevel,Edições Snob,12.0,9.6,20.000000000000004,Livros De Bordo,D35
1526,2021-08-26,9789728835569,,Deus Existe?,"Charles Delhez, Sj",Lucerna,19.95,9.98,49.97493734335839,Principia | Lucerna,D45
1527,2021-09-08,9789895405060,,Deus Não Dorme - Orações Para Todos Os Dias,Bookout,Bookout,11.9,7.14,40.0,Vasp Premium,A46
1528,2021-08-31,9789898809261,,Deus Ou Nada,Cardeal Robert Sarah,Lucerna,22.95,11.48,49.97821350762527,Principia | Lucerna,D45
1529,2021-08-26,5602072330044,,Deuses Da Gestão,"Handy, Charles",Cetop,24.5,14.7,40.0,Clássica Editora,A53
1530,2021-08-27,9789898937094,,Devagar Se Vai Ao Longe,Raquel Raimundo,Ideias Com História,44.9,35.92,19.999999999999993,Ideias Com História,D05
1531,2021-09-10,9789898937094,,Devagar Se Vai Ao Longe,Raquel Raimundo,Ideias Com História,44.9,35.92,19.999999999999993,Ideias Com História,D05
1532,2021-08-29,9789895425655,,Deve Ser Primavera Algures,Pedro Rodrigues,Cultura,15.95,7.98,49.96865203761755,Cultura Editora,A24
1533,2021-08-28,9789725404478,,Deveres Do Estado De Proteção De Direitos Fundamentais,Jorge Pereira Da Silva,Universidade Católica Editora,54.5,27.25,50.0,Universidade Católica Editora,B80
1534,2021-08-26,9789722527392,,Dia D - A Batalha Da Normandia,Antony Beevor,Bertrand,24.4,12.2,50.0,Bertrand Editora,A23
1535,2021-09-08,9789722527392,,Dia D - A Batalha Da Normandia,Antony Beevor,Bertrand,24.4,12.2,50.0,Bertrand Editora,A23
1536,2021-09-02,9789899015692,,Diário Da Madrugada,Tiago Andrade Nunes,Edições Esgotadas,15.0,12.0,20.0,Editora Edições Esgotadas,B43
1537,2021-08-31,9789896445607,✅,Diário De Fernão De Magalhães,José Manuel Nuñez De La Fuente,Temas E Debates,19.9,9.95,50.0,Bertrand Editora,B22
1538,2021-09-10,9789896445607,✅,Diário De Fernão De Magalhães,José Manuel Nuñez De La Fuente,Temas E Debates,19.9,9.95,50.0,Bertrand Editora,B22
1539,2021-09-06,9789896735494,,Diário De Um Pároco De Aldeia,Georges Bernanos,Paulinas Editora,15.99,9.59,40.025015634771734,Paulinas Editora,B40
1540,2021-08-28,9789896657697,,Diário De Uma Miúda Como Tu,Maria Inês Almeida,Nuvem De Letras,11.5,6.9,40.0,Penguin Random House,A107
1541,2021-09-11,9789896657697,,Diário De Uma Miúda Como Tu,Maria Inês Almeida,Nuvem De Letras,11.5,6.9,40.0,Penguin Random House,A107
1542,2021-09-05,9789896658595,,Diário De Uma Miúda Como Tu Cabeças Nas Nuven,Maria Inês Almeida,Nuvem De Letras,11.5,6.9,40.0,Penguin Random House,A105
1543,2021-08-26,9789725892497,,Diários De Viagem Ii,"Salavisa, Eduardo",Quimera,31.9,19.14,40.0,Quimera Editores,A57
1544,,9789896416362,,Dias Birmaneses,George Orwell,Relógio D’água Editores,17.0,10.0,41.17647058823529,Relógio D’água Editores,A125
1545,2021-08-29,180000411s,,Dias Da Noite,Silvina Ocampo,Edições Snob,16.0,12.8,19.999999999999996,Livros De Bordo,D35
1546,2021-09-01,180000411s,,Dias Da Noite,Silvina Ocampo,Edições Snob,16.0,12.8,19.999999999999996,Livros De Bordo,D35
1547,2021-09-05,180000411s,,Dias Da Noite,Silvina Ocampo,Edições Snob,16.0,12.8,19.999999999999996,Livros De Bordo,D35
1548,2021-09-12,180000411s,,Dias Da Noite,Silvina Ocampo,Edições Snob,16.0,12.8,19.999999999999996,Livros De Bordo,D35
1549,2021-09-02,9789726083399,,Dias E Noites De Amor E De Guerra,,Antígona,18.0,10.8,40.0,Antígona,A42
1550,2021-08-29,9789898809131,,Dicionário Da Familia Franciscana,"Vitor Teixeira, José Eduardo Franco (Coord)",Lucerna,24.5,12.25,50.0,Principia | Lucerna,D45
1551,2021-09-12,9789725567111,,Dicionário Das Grandes Figuras Europeias,Coord. Isabel Baltazar E Alice Cunha,A. R.,22.75,13.65,40.0,Assembleia Da República,B13
1552,2021-09-02,9789724818894,,Dicionário De Bolso Lello,Lello Editores,Lello Editores,6.5,3.9,40.0,Lello Editores,A11
1553,2021-08-31,9789724076218,,Dicionário De Estudos Narrativos,Carlos António Alves Reis,Almedina,25.9,15.54,40.0,Grupo Almedina,B68
1554,2021-08-28,9789725565575,,Dicionário De História Da I República E Do Republicanismo | Volume I: A-E,Maria Fernanda Rollo (Coord. Geral),A. R.,55.0,33.0,40.0,Assembleia Da República,B13
1555,2021-09-05,9789725565575,,Dicionário De História Da I República E Do Republicanismo | Volume I: A-E,Maria Fernanda Rollo (Coord. Geral),A. R.,55.0,33.0,40.0,Assembleia Da República,B13
1556,2021-09-05,5603121001632,,Dicionário De História Universal,"Lemos, Mário Matos E",Editorial Inquérito,44.82,26.89,40.00446229361892,Clássica Editora,A53
1557,2021-08-28,9789728449704,,Dicionário De Psicologia,"Doron, Roland; Parot, Françoise",Climepsi,49.5,29.7,40.0,Climepsi Editores,A55
1558,2021-08-30,9789727960439,,Dicionário De Psicopatologia Da Criança E Do Adolescente,"Houzel, Didier",Climepsi,69.9,41.94,40.00000000000001,Climepsi Editores,A55
1559,2021-08-28,9789724816982,,Dicionário De Santos,Jorge Campos Tavares,Lello Editores,25.0,15.0,40.0,Lello Editores,A11
1560,2021-08-29,9789724816982,,Dicionário De Santos,Jorge Campos Tavares,Lello Editores,25.0,15.0,40.0,Lello Editores,A11
1561,2021-09-09,9789724816982,,Dicionário De Santos,Jorge Campos Tavares,Lello Editores,25.0,15.0,40.0,Lello Editores,A11
1562,2021-09-10,9789724816982,,Dicionário De Santos,Jorge Campos Tavares,Lello Editores,25.0,15.0,40.0,Lello Editores,A11
1563,2021-08-27,9789896714444,,Dicionário Do Diabo - Bolso,Ambrose Bierce,Tinta-Da-China,13.9,8.8,36.690647482014384,Tinta-Da-China,C41
1564,2021-09-09,9723605775,,Dicionário Do Vintismo E Do Cartismo (1821-1823 E 1826-1828),"Zília Osório De Castro (Dir.), Isabel Cluny, Sara Marques Pereira (Coord.)",A. R.,80.0,48.0,40.0,Assembleia Da República,B13
1565,2021-08-27,9789896711900,,Dicionário Dos Lugares Imaginários,Alberto Manguel,Tinta-Da-China,29.0,17.84,38.48275862068966,Tinta-Da-China,C39
1566,2021-08-30,9789725613252,,Dicionário Ilustrado Da Marinha,"Esparteiro, António Marquês",Clássica,35.93,21.56,39.994433620929584,Clássica Editora,A51
1567,2021-09-05,9789725892374,,Dicionário Visual De Arquitetura,Vários,Quimera,48.5,29.1,40.0,Quimera Editores,A57
1568,2021-09-12,9789725892374,,Dicionário Visual De Arquitetura,Vários,Quimera,48.5,29.1,40.0,Quimera Editores,A57
1569,2021-08-30,9789726096443,,Dieta Milagrosa Para O Coração,,Selecções,34.95,20.97,40.00000000000001,Vasp Premium,A46
1570,2021-09-05,9789899993327,,Dieta Sem Glúten,Alessio Fasano,Alma Dos Livros,22.45,13.48,39.9554565701559,Alma Dos Livros,A36
1571,2021-09-08,9789898424099,,Difícil É Educá-Los,David Justino,Ffms - Fundação Francisco Manuel Dos Santos,3.5,1.75,50.0,F. Francisco Manuel Dos Santos,C03
1572,2021-09-08,9789899991293,,Dilmun,Alexandre Sarrazola,Mazu Press,17.5,10.5,40.0,Espaço Dos Pequenos Editores,C01
1573,2021-09-07,9789725613726,,Dinâmica De Grupo E Autogestão,"Mata, João Da",Clássica,19.9,11.94,40.0,Clássica Editora,A51
1574,2021-09-07,5603486238926,,Dinossauros,Yoyo Studios,Yoyo Books,12.99,7.79,40.03079291762894,Yoyobooks,B05
1575,2021-09-12,9789897078705,,Dinossauros À Solta!: Procura E Encontra,Sean Sims,Fábula,12.69,7.61,40.03152088258471,20|20 Editora,D54
1576,2021-09-08,9789895405138,,"Dionísias, As Celebrações",D. H. Machado,The Poets And Dragons Society,12.0,6.0,50.0,The Poets And Dragon Society,B45
1577,2021-08-27,9789896713218,,Direito A Ofender,Mick Hume,Tinta-Da-China,19.9,12.18,38.79396984924623,Tinta-Da-China,C43
1578,2021-09-08,9789726293286,,Direito Aéreo - Uma Introdução,Hugo Ramos Alves,AAFDL Editora,24.0,14.4,40.0,AAFDL Editora,B31
1579,2021-08-31,9789725405673,,Direito Comercial,Fátima Gomes,Universidade Católica Editora,22.2,6.66,70.0,Universidade Católica Editora,B80
1580,2021-08-28,9789724077383,,Direito Comercial E Do Mercado,Paulo Olavo Cunha,Almedina,39.9,19.95,50.0,Grupo Almedina,A93
1581,2021-09-02,9789724079318,,Direito Da Despesa Pública,Joaquim Freitas Da Rocha,Almedina,23.9,11.95,50.0,Grupo Almedina,A93
1582,2021-09-11,9789896400156,,Direito Da Família,José João Gonçalves De Proença,Universidade Lusíada Editora,6.25,4.5,28.000000000000004,Universidade Lusíada Editora,C09
1583,2021-09-12,9789726293125,,Direito Da Propriedade Industrial - Colectânea De Textos Legislativos E Regulamentos,José De Oliveira Ascensão,AAFDL Editora,45.0,27.0,40.0,AAFDL Editora,B31
1584,2021-09-05,9789725925003,,Direito Da União Europeia,"Pereira, António Pinto",Escolar Editora,29.9,17.94,39.99999999999999,Clássica Editora,A51
1585,2021-09-03,9789724073422,,Direito Das Contra-Ordenações,Augusto Silva Dias,Almedina,25.9,12.95,50.0,Grupo Almedina,A93
1586,2021-09-07,9728883838,,Direito Diplomático E Consular,Margarida Salema D'oliveira Martins,Universidade Lusíada Editora,8.13,4.5,44.649446494464954,Universidade Lusíada Editora,C09
1587,2021-08-30,9789724078311,,Direito Do Trabalho - Ii - Direito Individual,António Menezes Cordeiro,Almedina,83.9,41.95,50.0,Grupo Almedina,A93
1588,2021-09-01,978989640911,,Direito Europeu E Identidade Europeia:,José Duarte Nogueira,Universidade Lusíada Editora,4.38,2.5,42.922374429223744,Universidade Lusíada Editora,C09
1589,2021-08-26,9789725567135,,Direito Sobre Si Mesmo. 150 Anos Da Abolição Da Escravatura No Império Português (O),Assembleia Da República,A. R.,13.7,8.22,39.99999999999999,Assembleia Da República,B13
1590,2021-09-03,9789726292845,,Direitos Do Homem E Sistema Penitenciário,Carla Amado Gomes,AAFDL Editora,10.0,6.0,40.0,AAFDL Editora,B31
1591,2021-09-07,9789726293118,,Direitos Reais Administrativos - Ficção Ou Realidade?,José Luís Bonifácio Ramos,AAFDL Editora,20.0,12.0,40.0,AAFDL Editora,B31
1592,2021-08-28,9789726290766,,Direitos Sociais - Teoria Jurídica Dos Direitos Sociais Enquanto Direitos Fundamentais,Jorge Reis Novais,AAFDL Editora,30.0,18.0,40.0,AAFDL Editora,B31
1593,2021-08-30,9789895470815,,Discurso Aos Pacientes Cirúrgicos,Susana Araújo,Não Edições,12.0,9.6,20.000000000000004,Livros De Bordo,D35
1594,2021-09-04,9789895470815,,Discurso Aos Pacientes Cirúrgicos,Susana Araújo,Não Edições,12.0,9.6,20.000000000000004,Livros De Bordo,D35
1595,2021-09-06,9789895470815,,Discurso Aos Pacientes Cirúrgicos,Susana Araújo,Não Edições,12.0,9.6,20.000000000000004,Livros De Bordo,D35
1596,2021-09-09,9789895470815,,Discurso Aos Pacientes Cirúrgicos,Susana Araújo,Não Edições,12.0,9.6,20.000000000000004,Livros De Bordo,D35
1597,2021-08-31,9789726080138,,Discurso Sobre A Servidão Voluntária,,Antígona,12.0,7.2,40.0,Antígona,A42
1598,2021-09-11,9789896715137,✅,Discursos,Mark Twain,Tinta-Da-China,24.9,15.6,37.34939759036144,Tinta-Da-China,C43
1599,2021-09-11,9789722529051,,"Dispara, Eu Já Estou Morto",Julia Navarro,Bertrand,19.9,9.95,50.0,Bertrand Editora,A29
1600,2021-08-28,9789896710187,,Disse-Me Um Adivinho,Tiziano Terzani,Tinta-Da-China,24.9,15.22,38.87550200803212,Tinta-Da-China,C39
1601,2021-09-04,9789722523677,,Diz-Me Quem Sou,Julia Navarro,Bertrand,19.9,9.95,50.0,Bertrand Editora,A29
1602,2021-09-12,9789722523677,,Diz-Me Quem Sou,Julia Navarro,Bertrand,19.9,9.95,50.0,Bertrand Editora,A29
1603,2021-08-31,9789896714888,,Do Éden Ao Divã,"Moacyr Scliar, Patricia Finzi E Etiahu Toker (Org.)",Tinta-Da-China,18.9,11.74,37.88359788359788,Tinta-Da-China,C16
1604,2021-09-03,5603121290258,,Do Fascismo,"Ory, Pascal",Editorial Inquérito,23.12,13.87,40.00865051903115,Clássica Editora,A53
1605,2021-09-04,9789724417349,✅,Do Fascismo Ao Populismo Na História,Federico Finchelstein,Edições 70,23.9,14.34,40.0,Grupo Almedina,B68
1606,2021-09-02,9789895593170,✅,Do Inferno,Alan Moore,Editora Devir,39.99,15.99,60.01500375093774,Editora Devir,C49
1607,2021-09-03,9789727087303,,Do Lado De Swann,Marcel Proust,Relógio D’água Editores,22.21,13.0,41.46780729401171,Relógio D’água Editores,A129
1608,2021-08-27,9789728968687,,Do Mar Oceano Ao Mar Português,Coordenação De Mário Ruivo,Clube Do Colecionador Dos Ctt,41.0,24.6,40.0,Ctt,A19
1609,2021-09-11,9789895400812,,Do Sucesso À Excelência,Ricardo Anselmo,Idioteque,15.0,9.0,40.0,Vasp Premium,A46
1610,2021-09-11,9789896684747,,Do You Want A Bite? São Servidos?,Maria Antónia Peças E Luís Barros,Vogais,14.99,8.99,40.0266844563042,20|20 Editora,C35
1611,2021-09-12,9789898761262,,Do-In,Juracy Cançado,4estações,18.9,11.34,40.0,4estações Editora,A71
1612,2021-09-11,9789896713539,✅,"Doença, O Sofrimento E A Morte...",Ricardo Araújo Pereira,Tinta-Da-China,14.9,9.2,38.255033557046985,Tinta-Da-China,C14
1613,2021-08-30,9789720706706,,Doido Por Futebol,-,Porto Editora,15.5,7.75,50.0,Porto Editora,B10
1614,2021-09-04,9789720706706,,Doido Por Futebol,-,Porto Editora,15.5,7.75,50.0,Porto Editora,B10
1615,2021-09-09,9789720706706,,Doido Por Futebol,-,Porto Editora,15.5,7.75,50.0,Porto Editora,B10
1616,2021-08-26,9788510063272,,"Dois Continentes, Quatro Gerações",Beti Rozen,Editora Sem Fronteiras Press,16.8,12.6,25.000000000000007,Rede Sem Fronteiras,D51
1617,2021-08-27,9788510063272,,"Dois Continentes, Quatro Gerações",Beti Rozen,Editora Sem Fronteiras Press,16.8,12.6,25.000000000000007,Rede Sem Fronteiras,D51
1618,2021-09-09,9789722536875,,Dona Filipa E Dom João I,Maria João Fialho Gouveia,Bertrand,16.6,8.3,50.0,Bertrand Editora,A25
1619,2021-09-06,9789895490943,,"Dona Rosinha, A Solteira",Federico García Lorca,Artistas Unidos/Snob,7.0,5.6,20.000000000000004,Livros De Bordo,D35
1620,2021-09-07,9789895490943,,"Dona Rosinha, A Solteira",Federico García Lorca,Artistas Unidos/Snob,7.0,5.6,20.000000000000004,Livros De Bordo,D35
1621,2021-09-12,9789895490943,,"Dona Rosinha, A Solteira",Federico García Lorca,Artistas Unidos/Snob,7.0,5.6,20.000000000000004,Livros De Bordo,D35
1622,2021-08-27,9789897244315,,Donos Do Mundo,Pedro Banõs,Clube Do Autor,18.5,11.1,40.0,Clube Do Autor,A59
1623,2021-09-04,9789898937438,,Dores De Crescimento,Susana Amorim E Inês Afonso Marques,Ideias Com História,14.0,12.6,10.000000000000002,Ideias Com História,D05
1624,2021-08-31,9789898536518,,"Dos ""Anos Quentes"" À Estabilidade Democrática",A. Belchior E N.Almeida Alves (Orgs.),Editora Mundos Sociais,12.5,6.75,46.0,Iscte-Iul,C04
1625,2021-09-11,5602072460307,,Dos 6 Aos 12 Anos- A Idade Desconhecida,"Ifergan, Harry",Cetop,25.9,15.54,40.0,Clássica Editora,A53
1626,2021-08-30,9789724422671,,Dos Nacionalismos,Ernest Gellner,Edições 70,21.9,13.14,39.99999999999999,Grupo Almedina,B68
1627,2021-08-29,9789895486823,,"Dos Nomes, As Outras Palavras",Joana Bastos Rodrigues,Editora Exclamação,14.9,11.92,20.0,Livros De Bordo,D35
1628,2021-09-07,9789895486823,,"Dos Nomes, As Outras Palavras",Joana Bastos Rodrigues,Editora Exclamação,14.9,11.92,20.0,Livros De Bordo,D35
1629,2021-09-11,9789895486823,,"Dos Nomes, As Outras Palavras",Joana Bastos Rodrigues,Editora Exclamação,14.9,11.92,20.0,Livros De Bordo,D35
1630,2021-09-12,9789895486823,,"Dos Nomes, As Outras Palavras",Joana Bastos Rodrigues,Editora Exclamação,14.9,11.92,20.0,Livros De Bordo,D35
1631,2021-08-29,9789896686659,,Dracul,Dacre Stoker E J. D. Barker,Topseller,20.99,12.59,40.01905669366364,20|20 Editora,D62
1632,2021-08-29,9789895594207,,Drama,Raina Telgemeier,Editora Devir,14.99,11.99,20.0133422281521,Editora Devir,C49
1633,2021-09-12,9789727963638,,Dsm 5- Casos Clínicos,"Barnhill, John W.",Climepsi,42.0,25.2,40.0,Climepsi Editores,A55
1634,2021-09-11,9789722351324,,E Agora Onde Esta O Wally?,Martin Handford,Editorial Presença,12.9,6.45,50.0,Editorial Presença,B56
1635,2021-09-12,9789897241826,,E Nada O Vento Levou,Helena Sacadura Cabral,Clube Do Autor,14.5,8.7,40.0,Clube Do Autor,A63
1636,2021-09-01,9789899886902,,E O Sol Abriu A Janela,Salvador Coutinho,Idioteque,15.0,9.0,40.0,Vasp Premium,A46
1637,2021-09-11,9789724052335,,É Possível Aprender A Dirigir?,Pedro Rosa Ferro (Coord.),Almedina,15.9,9.54,40.00000000000001,Grupo Almedina,B68
1638,2021-08-26,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1639,2021-08-27,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1640,2021-08-28,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1641,2021-08-29,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1642,2021-08-30,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1643,2021-08-31,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1644,2021-09-06,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1645,2021-09-01,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1646,2021-09-02,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1647,2021-09-03,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1648,2021-09-04,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1649,2021-09-05,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1650,2021-09-07,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1651,2021-09-08,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1652,2021-09-09,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1653,2021-09-10,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1654,2021-09-11,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1655,2021-09-12,9789898899002,,"E Tu, Queres Ser Feliz?",Pedro Rocha E Melo,Cascais Editora,10.0,5.0,50.0,Principia | Lucerna,D47
1656,2021-09-06,9789725925508,,Econometria - 2ª Edição,Vários,Escolar Editora,32.9,19.74,40.0,Clássica Editora,A51
1657,2021-09-10,9789898857347,,Economia - Tudo O Que Precisa De Saber,Alfred Mill,Jacarandá Editora,16.9,8.45,50.0,Editorial Presença,B50
1658,2021-09-02,9789725924990,,Economia Financeira Teoria E Exercícios,Vários,Escolar Editora,24.9,14.94,40.0,Clássica Editora,A51
1659,2021-09-05,9789898662149,,Economia Paralela,Nuno Vilarinho Gonçalves,Ffms - Fundação Francisco Manuel Dos Santos,3.5,1.75,50.0,F. Francisco Manuel Dos Santos,C03
1660,2021-09-02,9728311540,,Eduardo Souto Moura Brochura (Sem Sobrecapa),Luiz Trigueiros E Outros,Blaubookshop – Chili Com Carne,52.37,32.0,38.89631468397938,Blaubookshop – Chili Com Carne,D28
1661,2021-09-07,9728311540,,Eduardo Souto Moura Brochura (Sem Sobrecapa),Luiz Trigueiros E Outros,Blaubookshop – Chili Com Carne,52.37,32.0,38.89631468397938,Blaubookshop – Chili Com Carne,D28
1662,2021-08-31,9789898694416,,Educar Com Valores Inteligentes,Alfonso Barreto,Bookout,15.8,9.48,40.0,Vasp Premium,A46
1663,2021-09-01,9789898694812,,Educar Para A Não Violência 2ª Edição,Joaquim González-Pérez,Bookout,14.9,8.94,40.0,Vasp Premium,A46
1664,2021-09-09,9789722537797,,Educar Pela Positiva,Nuno Pinto Martins,Bertrand,14.39,7.2,49.96525364836692,Bertrand Editora,A23
1665,2021-08-26,97885010159253,,Educar Sem Culpa,Tania Zagury (Convidada De Honra),Editora Record,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
1666,2021-08-27,97885010159253,,Educar Sem Culpa,Tania Zagury (Convidada De Honra),Editora Record,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
1667,2021-08-28,97885010159253,,Educar Sem Culpa,Tania Zagury (Convidada De Honra),Editora Record,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
1668,2021-08-29,97885010159253,,Educar Sem Culpa,Tania Zagury (Convidada De Honra),Editora Record,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
1669,2021-08-30,97885010159253,,Educar Sem Culpa,Tania Zagury (Convidada De Honra),Editora Record,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
1670,2021-08-31,97885010159253,,Educar Sem Culpa,Tania Zagury (Convidada De Honra),Editora Record,9.6,7.2,24.999999999999993,Rede Sem Fronteiras,D51
1671,2021-09-02,9789722413640,,Egiptologia - Em Busca Do Túmulo De Osiris,Emily Sands,Livros Horizonte,14.0,8.4,40.0,Livros Horizonte,A87
1672,2021-09-11,9789898871534,,Ela Primeiro,Afonso Noite-Luar,Manuscrito Editora,15.9,7.95,50.0,Editorial Presença,A83
1673,2021-08-26,9788583881735,,Elas,Maria Regina Chagas,Editora Copiart,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
1674,2021-08-27,9788583881735,,Elas,Maria Regina Chagas,Editora Copiart,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
1675,2021-08-28,9788583881735,,Elas,Maria Regina Chagas,Editora Copiart,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
1676,2021-08-29,9788583881735,,Elas,Maria Regina Chagas,Editora Copiart,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
1677,2021-08-30,9788583881735,,Elas,Maria Regina Chagas,Editora Copiart,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
1678,2021-08-31,9788583881735,,Elas,Maria Regina Chagas,Editora Copiart,8.4,6.3,25.000000000000007,Rede Sem Fronteiras,D51
1679,2021-09-06,9789896657703,✅,Eleição Dos Bichos,André Rodrigues,Nuvem De Letras,12.5,7.5,40.0,Penguin Random House,A107
1680,2021-09-03,9789726999331,,"Eleito, O",Thomas Mann,Vega,18.02,10.0,44.50610432852386,Nova Vega,A20
1681,2021-08-28,9789898342751,,Elementais,Álvaro Leonardo Teixeira,Lema D'origem - Editora,10.0,6.8,32.0,Lema D’origem Editora,D22
1682,2021-08-26,9788580552126,,Eletrônica Ii,"Schuler, Charles",Mcgraw-Hill,32.86,19.72,39.987827145465616,Booki | Sabooks,B25
1683,2021-09-09,9788580555769,,Eletrônica Vol 1,"Malvino, Albert P.; Bates, David J.",Mcgraw-Hill,48.76,29.26,39.991796554552906,Booki | Sabooks,B25
1684,2021-08-31,9789896715625,,Eliete (Bolso),Dulce Maria Cardoso,Tinta-Da-China,15.9,11.18,29.685534591194973,Tinta-Da-China,C41
1685,2021-08-29,9789897224430,,Elogio Da Sede,José Tolentino Mendonça,Quetzal,16.6,8.3,50.0,Bertrand Editora,A39
1686,2021-09-11,9789897224430,,Elogio Da Sede,José Tolentino Mendonça,Quetzal,16.6,8.3,50.0,Bertrand Editora,A39
1687,2021-09-07,9789899931916,,Elogio Dos Amantes Derradeiros,Manuel Andrade,Idioteque,13.5,8.1,40.0,Vasp Premium,A46
1688,2021-08-28,9789898831859,,Elon Musk,Ashlee Vance,Vogais,22.99,13.79,40.01739886907351,20|20 Editora,C35
1689,2021-09-01,9789898907875,,Elon Musk - O Homem De Ferro,Jessica Easto,Alma Dos Livros,14.95,8.98,39.93311036789297,Alma Dos Livros,A34
1690,2021-09-10,9789726293088,,Elucidário Administrativo E Tributário,Luís M. Alves,AAFDL Editora,15.0,9.0,40.0,AAFDL Editora,B31
1691,2021-09-02,9789728968045,,Em Busca Da Lisboa Árabe,Adalberto Alves,Clube Do Colecionador Dos Ctt,40.0,24.0,40.0,Ctt,A19
1692,2021-09-10,9789722354646,,Em Busca Do Final Feliz - Livro 1,Paula Pimenta,Editorial Presença,15.9,7.95,50.0,Editorial Presença,B58
1693,2021-08-26,9788569247487,,Em Horas Vagas,Jania Souza,Caravela Selo Cultural,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
1694,2021-08-27,9788569247487,,Em Horas Vagas,Jania Souza,Caravela Selo Cultural,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
1695,2021-08-28,9788569247487,,Em Horas Vagas,Jania Souza,Caravela Selo Cultural,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
1696,2021-08-29,9788569247487,,Em Horas Vagas,Jania Souza,Caravela Selo Cultural,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
1697,2021-08-30,9788569247487,,Em Horas Vagas,Jania Souza,Caravela Selo Cultural,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
1698,2021-08-31,9788569247487,,Em Horas Vagas,Jania Souza,Caravela Selo Cultural,4.8,3.6,24.999999999999993,Rede Sem Fronteiras,D51
1699,2021-09-09,9789724252001,,Em Nome Do Amor,Kristin Hannah,Círculo De Leitores,18.9,11.34,40.0,Círculo De Leitores,B24
1700,2021-09-02,9789722525572,,Em Parte Incerta,Gillian Flynn,Bertrand,17.7,8.85,50.0,Bertrand Editora,B04
1701,2021-09-12,9789896656515,✅,Em Tudo Havia Beleza,Manuel Vilas,Alfaguara (Prh),21.9,13.14,39.99999999999999,Penguin Random House,A115
1702,2021-08-29,9789897242403,,Emagreca Sem Fome,Iara Rodrigues,Clube Do Autor,17.0,10.2,40.0,Clube Do Autor,A63
